model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
GRU,1,64,32,50,0.5,adam,3,0.3709
GRU,1,64,32,50,0.5,rmsprop,1,0.3829
GRU,1,64,32,50,0.5,rmsprop,2,0.3814
GRU,1,64,32,50,0.5,rmsprop,3,0.3836
GRU,1,64,64,10,0.0,adam,1,0.3811
GRU,1,64,64,10,0.0,adam,2,0.371
GRU,1,64,64,10,0.0,adam,3,0.3652
GRU,1,64,64,10,0.0,rmsprop,1,0.3792
GRU,1,64,64,10,0.0,rmsprop,2,0.4028
GRU,1,64,64,10,0.0,rmsprop,3,0.3743
GRU,1,64,64,10,0.25,adam,1,0.3808
GRU,1,64,64,10,0.25,adam,2,0.3786
GRU,1,64,64,10,0.25,adam,3,0.3627
GRU,1,64,64,10,0.25,rmsprop,1,0.3837
GRU,1,64,64,10,0.25,rmsprop,2,0.3779
GRU,1,64,64,10,0.25,rmsprop,3,0.3743
GRU,1,64,64,10,0.5,adam,1,0.3694
GRU,1,64,64,10,0.5,adam,2,0.3771
GRU,1,64,64,10,0.5,adam,3,0.3712
GRU,1,64,64,10,0.5,rmsprop,1,0.3876
GRU,1,64,64,10,0.5,rmsprop,2,0.3693
GRU,1,64,64,10,0.5,rmsprop,3,0.3858
GRU,1,64,64,30,0.0,adam,1,0.382
GRU,1,64,64,30,0.0,adam,2,0.3754
GRU,1,64,64,30,0.0,adam,3,0.3844
GRU,1,64,64,30,0.0,rmsprop,1,0.3783
GRU,1,64,64,30,0.0,rmsprop,2,0.3794
GRU,1,64,64,30,0.0,rmsprop,3,0.382
GRU,1,64,64,30,0.25,adam,1,0.3803
GRU,1,64,64,30,0.25,adam,2,0.375
GRU,1,64,64,30,0.25,adam,3,0.3814
GRU,1,64,64,30,0.25,rmsprop,1,0.3781
GRU,1,64,64,30,0.25,rmsprop,2,0.3744
GRU,1,64,64,30,0.25,rmsprop,3,0.3851
GRU,1,64,64,30,0.5,adam,1,0.3803
GRU,1,64,64,30,0.5,adam,2,0.3789
GRU,1,64,64,30,0.5,adam,3,0.3687
GRU,1,64,64,30,0.5,rmsprop,1,0.3794
GRU,1,64,64,30,0.5,rmsprop,2,0.3788
GRU,1,64,64,30,0.5,rmsprop,3,0.3893
GRU,1,64,64,50,0.0,adam,1,0.3735
GRU,1,64,64,50,0.0,adam,2,0.3692
GRU,1,64,64,50,0.0,adam,3,0.3777
GRU,1,64,64,50,0.0,rmsprop,1,0.3806
GRU,1,64,64,50,0.0,rmsprop,2,0.3986
GRU,1,64,64,50,0.0,rmsprop,3,0.3929
GRU,1,64,64,50,0.25,adam,1,0.3776
GRU,1,64,64,50,0.25,adam,2,0.3747
GRU,1,64,64,50,0.25,adam,3,0.3814
GRU,1,64,64,50,0.25,rmsprop,1,0.3801
GRU,1,64,64,50,0.25,rmsprop,2,0.3882
GRU,1,64,64,50,0.25,rmsprop,3,0.3745
GRU,1,64,64,50,0.5,adam,1,0.3809
GRU,1,64,64,50,0.5,adam,2,0.3738
GRU,1,64,64,50,0.5,adam,3,0.3703
GRU,1,64,64,50,0.5,rmsprop,1,0.3783
GRU,1,64,64,50,0.5,rmsprop,2,0.3894
GRU,1,64,64,50,0.5,rmsprop,3,0.3827
GRU,1,128,32,10,0.0,adam,1,0.3793
GRU,1,128,32,10,0.0,adam,2,0.3731
GRU,1,128,32,10,0.0,adam,3,0.3857
GRU,1,128,32,10,0.0,rmsprop,1,0.3758
GRU,1,128,32,10,0.0,rmsprop,2,0.3803
GRU,1,128,32,10,0.0,rmsprop,3,0.4233
GRU,1,128,32,10,0.25,adam,1,0.3828
GRU,1,128,32,10,0.25,adam,2,0.3763
GRU,1,128,32,10,0.25,adam,3,0.3897
GRU,1,128,32,10,0.25,rmsprop,1,0.3862
GRU,1,128,32,10,0.25,rmsprop,2,0.3827
GRU,1,128,32,10,0.25,rmsprop,3,0.4137
GRU,1,128,32,10,0.5,adam,1,0.3877
GRU,1,128,32,10,0.5,adam,2,0.3763
GRU,1,128,32,10,0.5,adam,3,0.3758
GRU,1,128,32,10,0.5,rmsprop,1,0.3782
GRU,1,128,32,10,0.5,rmsprop,2,0.3772
GRU,1,128,32,10,0.5,rmsprop,3,0.3839
