model,look_back,units,batch_size,epochs,dropout,optimizer,layers,MAE
LSTM,1,64,32,50,0.0,rmsprop,3,0.3703450560569763
LSTM,1,64,32,50,0.25,adam,1,0.3773040175437927
LSTM,1,64,32,50,0.25,adam,2,0.3678011000156402
LSTM,1,64,32,50,0.25,adam,3,0.3753954768180847
LSTM,1,64,32,50,0.25,rmsprop,1,0.3750955760478973
LSTM,1,64,32,50,0.25,rmsprop,2,0.373744934797287
LSTM,1,64,32,50,0.25,rmsprop,3,0.3751878440380096
LSTM,1,64,32,50,0.5,adam,1,0.3788075447082519
LSTM,1,64,32,50,0.5,adam,2,0.3732310831546783
LSTM,1,64,32,50,0.5,adam,3,0.3748184740543365
LSTM,1,64,32,50,0.5,rmsprop,1,0.375586062669754
LSTM,1,64,32,50,0.5,rmsprop,2,0.3782970011234283
LSTM,1,64,32,50,0.5,rmsprop,3,0.384154736995697
LSTM,1,64,64,10,0.0,adam,1,0.3741806149482727
LSTM,1,64,64,10,0.0,adam,2,0.3686749339103699
LSTM,1,64,64,10,0.0,adam,3,0.3653566837310791
LSTM,1,64,64,10,0.0,rmsprop,1,0.3751935958862304
LSTM,1,64,64,10,0.0,rmsprop,2,0.3739573955535888
LSTM,1,64,64,10,0.0,rmsprop,3,0.3670986592769623
LSTM,1,64,64,10,0.25,adam,1,0.3746169209480285
LSTM,1,64,64,10,0.25,adam,2,0.3682545125484466
LSTM,1,64,64,10,0.25,adam,3,0.373810350894928
LSTM,1,64,64,10,0.25,rmsprop,1,0.3748523294925689
LSTM,1,64,64,10,0.25,rmsprop,2,0.3761806190013885
LSTM,1,64,64,10,0.25,rmsprop,3,0.3745427429676056
LSTM,1,64,64,10,0.5,adam,1,0.3803646564483642
LSTM,1,64,64,10,0.5,adam,2,0.3696807026863098
LSTM,1,64,64,10,0.5,adam,3,0.369472861289978
LSTM,1,64,64,10,0.5,rmsprop,1,0.3775261044502258
LSTM,1,64,64,10,0.5,rmsprop,2,0.3806918263435364
LSTM,1,64,64,10,0.5,rmsprop,3,0.3851335048675537
LSTM,1,64,64,30,0.0,adam,1,0.3723535537719726
LSTM,1,64,64,30,0.0,adam,2,0.3684391975402832
LSTM,1,64,64,30,0.0,adam,3,0.3730811774730682
LSTM,1,64,64,30,0.0,rmsprop,1,0.3766197562217712
LSTM,1,64,64,30,0.0,rmsprop,2,0.3788906633853912
LSTM,1,64,64,30,0.0,rmsprop,3,0.3772377073764801
LSTM,1,64,64,30,0.25,adam,1,0.3753091692924499
LSTM,1,64,64,30,0.25,adam,2,0.3758248090744018
LSTM,1,64,64,30,0.25,adam,3,0.3766643404960632
LSTM,1,64,64,30,0.25,rmsprop,1,0.3780113458633423
LSTM,1,64,64,30,0.25,rmsprop,2,0.3760927617549896
LSTM,1,64,64,30,0.25,rmsprop,3,0.377484530210495
LSTM,1,64,64,30,0.5,adam,1,0.3776824474334717
LSTM,1,64,64,30,0.5,adam,2,0.3728790283203125
LSTM,1,64,64,30,0.5,adam,3,0.3766056299209595
LSTM,1,64,64,30,0.5,rmsprop,1,0.3800347745418548
