05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일ID,정류소ID,정류소명,조회일자,합계,행정구역
1,0,2,4,3,0,0,4,3,3,9,3,1,5,3,3,6,4,0,하차,02175,7051003500,KT남대구지사건너1,2019-01-01,54,대구광역시 남구 대명10동
0,7,2,3,4,9,1,3,4,6,1,3,6,3,5,4,3,2,0,승차,01630,7051003000,KT남대구지사건너2,2019-01-01,66,대구광역시 남구 대명6동
0,1,0,1,2,3,0,2,3,1,4,2,1,3,5,0,0,2,0,하차,01630,7051003000,KT남대구지사건너2,2019-01-01,30,대구광역시 남구 대명6동
3,14,11,23,20,34,27,24,25,30,27,29,26,22,13,21,20,11,0,승차,02180,7051003400,KT남대구지사앞1,2019-01-01,380,대구광역시 남구 대명9동
3,3,5,8,10,11,6,8,5,9,6,19,10,7,6,5,7,2,0,하차,02180,7051003400,KT남대구지사앞1,2019-01-01,130,대구광역시 남구 대명9동
0,0,0,1,1,2,1,4,0,3,2,2,4,0,1,0,0,0,0,승차,05070,7051002900,KT남대구지사앞2,2019-01-01,21,대구광역시 남구 대명9동
0,2,1,4,8,6,4,6,5,3,4,4,6,3,0,2,0,0,0,하차,05070,7051002900,KT남대구지사앞2,2019-01-01,58,대구광역시 남구 대명9동
1,7,14,11,17,17,18,21,27,24,41,20,25,25,15,13,7,8,4,승차,09201,7011007300,KT동대구지사건너,2019-01-01,315,대구광역시 동구 신암4동
2,8,9,26,25,27,19,22,24,18,24,13,24,12,15,11,7,6,0,하차,09201,7011007300,KT동대구지사건너,2019-01-01,292,대구광역시 동구 신암4동
1,15,26,12,10,4,16,18,11,15,17,19,19,9,9,14,11,11,0,승차,02094,7011007200,KT동대구지사앞,2019-01-01,237,대구광역시 동구 신암4동
0,2,0,0,1,1,1,1,2,3,2,3,1,4,3,2,3,1,0,하차,02094,7011007200,KT동대구지사앞,2019-01-01,30,대구광역시 동구 신암4동
