05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,구분,모바일번호,일자,정류소명,정류소번호,합계,행정구역
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,하차,4010,2021-01-01,금포교,7111075600,1,대구광역시 달성군 논공읍
0,0,2,0,0,2,0,1,0,2,4,1,0,1,0,0,0,1,0,승차,4016,2021-01-01,금포새터길1,7111075700,14,대구광역시 달성군 논공읍
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,하차,4017,2021-01-01,금포새터길2,7111075800,1,대구광역시 달성군 논공읍
0,2,0,0,5,5,4,2,5,7,1,1,1,1,3,0,0,0,0,승차,9045,2021-01-01,금포초등학교,7111012700,37,대구광역시 달성군 논공읍
0,0,2,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,하차,9045,2021-01-01,금포초등학교,7111012700,7,대구광역시 달성군 논공읍
0,0,0,0,0,0,0,1,0,2,1,3,1,2,0,1,0,0,0,승차,1819,2021-01-01,금포초등학교건너,7111012600,11,대구광역시 달성군 논공읍
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,하차,1819,2021-01-01,금포초등학교건너,7111012600,2,대구광역시 달성군 논공읍
0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,승차,5310,2021-01-01,금호119안전센터건너,7021057600,7,대구광역시 북구 관문동
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,하차,5301,2021-01-01,금호119안전센터앞,7021057100,3,대구광역시 북구 관문동
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,승차,1167,2021-01-01,금호기전,7041039400,1,대구광역시 달서구 신당동
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,하차,1167,2021-01-01,금호기전,7041039400,1,대구광역시 달서구 신당동
1,1,1,0,2,1,1,0,2,1,0,4,1,1,0,2,1,1,0,승차,3868,2021-01-01,금호서한이다음아파트건너,7021059000,20,대구광역시 북구 관문동
0,1,2,2,2,0,5,6,7,4,2,7,3,2,2,1,6,1,0,승차,9221,2021-01-01,금호서한이다음아파트앞,7021058900,53,대구광역시 북구 관문동
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,하차,9221,2021-01-01,금호서한이다음아파트앞,7021058900,3,대구광역시 북구 관문동
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,승차,3870,2021-01-01,금호지구종점(시내방향),7021059300,3,대구광역시 북구 관문동
0,0,1,2,2,0,2,0,2,1,0,1,2,0,0,1,1,0,0,승차,3869,2021-01-01,금호지구종점(종점방향),7021059400,15,대구광역시 북구 관문동
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,승차,3871,2021-01-01,금호천년나무1단지건너,7021059200,3,대구광역시 북구 관문동
0,0,0,0,0,2,0,0,1,0,0,1,0,0,2,1,0,0,0,하차,3871,2021-01-01,금호천년나무1단지건너,7021059200,7,대구광역시 북구 관문동
2,2,6,4,4,2,7,6,9,1,7,3,3,1,1,0,2,3,0,승차,3865,2021-01-01,금호천년나무1단지동편,7021059500,63,대구광역시 북구 관문동
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,승차,5302,2021-01-01,금호천년나무1단지동편건너,7021057200,1,대구광역시 북구 관문동
0,1,0,0,1,2,0,2,0,2,1,0,3,4,1,2,0,2,1,하차,5302,2021-01-01,금호천년나무1단지동편건너,7021057200,22,대구광역시 북구 관문동
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,승차,3866,2021-01-01,금호천년나무1단지앞,7021059100,1,대구광역시 북구 관문동
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,승차,3965,2021-01-01,금호천년나무8단지앞,7021060600,1,대구광역시 북구 관문동
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,하차,3965,2021-01-01,금호천년나무8단지앞,7021060600,3,대구광역시 북구 관문동
0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,승차,9223,2021-01-01,금호화물자동차공영차고지,7031020600,5,대구광역시 서구 상중이동
0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,승차,2321,2021-01-01,기곡(종점),7111029600,4,대구광역시 달성군 하빈면
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,승차,3652,2021-01-01,기곡리1,7111043300,1,대구광역시 달성군 하빈면
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,승차,968,2021-01-01,기업은행대곡지점건너,7041022000,5,대구광역시 달서구 도원동
0,0,0,1,2,1,3,2,3,3,4,1,7,4,4,4,4,0,0,하차,968,2021-01-01,기업은행대곡지점건너,7041022000,43,대구광역시 달서구 도원동
8,8,8,18,14,15,23,18,21,30,17,25,24,15,5,7,8,3,0,승차,5009,2021-01-01,기업은행대곡지점앞,7041021900,267,대구광역시 달서구 도원동
0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,하차,5009,2021-01-01,기업은행대곡지점앞,7041021900,6,대구광역시 달서구 도원동
2,1,3,3,2,4,3,2,3,8,3,3,1,4,3,1,4,2,0,승차,1317,2021-01-01,기업은행죽전동지점건너,7041002500,52,대구광역시 달서구 죽전동
0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,하차,1317,2021-01-01,기업은행죽전동지점건너,7041002500,5,대구광역시 달서구 죽전동
0,1,1,1,0,0,1,3,0,1,2,4,3,0,0,0,0,1,0,승차,9241,2021-01-01,기업은행죽전동지점앞,7041002600,18,대구광역시 달서구 죽전동
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,하차,9241,2021-01-01,기업은행죽전동지점앞,7041002600,2,대구광역시 달서구 죽전동
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,승차,2947,2021-01-01,김흥1리앞,7111065600,1,대구광역시 달성군 옥포면
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,하차,1624,2021-01-01,김흥2리앞,7111053100,1,대구광역시 달성군 옥포면
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,승차,1993,2021-01-01,김흥리마을입구,7111051500,1,대구광역시 달성군 옥포면
0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,2,1,0,0,승차,3964,2021-01-01,나불지건너,7011059500,9,대구광역시 동구 안심3.4동
0,0,1,0,0,4,0,0,1,0,2,0,0,2,0,1,1,0,0,승차,3963,2021-01-01,나불지앞,7011059400,12,대구광역시 동구 안심3.4동
0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,하차,3963,2021-01-01,나불지앞,7011059400,4,대구광역시 동구 안심3.4동
0,0,0,0,0,0,2,0,0,2,1,4,4,1,2,0,0,0,0,승차,393,2021-01-01,남구종합스포츠타운건너,7051012800,16,대구광역시 남구 봉덕3동
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,하차,393,2021-01-01,남구종합스포츠타운건너,7051012800,2,대구광역시 남구 봉덕3동
0,2,3,2,5,2,2,5,1,3,11,2,9,0,3,2,1,0,0,승차,784,2021-01-01,남구종합스포츠타운앞,7051012900,53,대구광역시 남구 봉덕3동
0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,1,0,0,하차,784,2021-01-01,남구종합스포츠타운앞,7051012900,7,대구광역시 남구 봉덕3동
0,0,0,0,0,1,0,0,4,2,1,0,0,0,1,0,1,0,0,승차,3879,2021-01-01,남구청건너1,7051017200,10,대구광역시 남구 봉덕1동
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,하차,3879,2021-01-01,남구청건너1,7051017200,2,대구광역시 남구 봉덕1동
1,1,1,6,8,3,3,4,4,5,7,4,6,3,1,4,1,3,0,승차,2182,2021-01-01,남구청건너2,7051009100,65,대구광역시 남구 봉덕3동
0,2,3,2,5,5,6,8,8,8,9,4,6,6,5,9,7,3,0,하차,2182,2021-01-01,남구청건너2,7051009100,96,대구광역시 남구 봉덕3동
1,1,2,4,3,5,6,9,4,1,7,4,8,5,0,3,7,4,0,승차,2176,2021-01-01,남구청네거리1,7051011500,74,대구광역시 남구 봉덕1동
0,1,0,2,1,0,4,1,2,2,3,2,3,1,1,0,2,1,0,하차,2176,2021-01-01,남구청네거리1,7051011500,26,대구광역시 남구 봉덕1동
0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,승차,446,2021-01-01,남구청네거리2,7051015800,4,대구광역시 남구 봉덕3동
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,하차,446,2021-01-01,남구청네거리2,7051015800,2,대구광역시 남구 봉덕3동
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,승차,3886,2021-01-01,남구청앞,7051017100,2,대구광역시 남구 봉덕1동
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,하차,3886,2021-01-01,남구청앞,7051017100,1,대구광역시 남구 봉덕1동
4,7,10,7,5,9,14,17,17,13,8,11,21,8,5,8,8,2,0,승차,9245,2021-01-01,남대구IC1,7041011500,174,대구광역시 달서구 본동
0,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,1,1,0,하차,9245,2021-01-01,남대구IC1,7041011500,9,대구광역시 달서구 본동
3,3,4,5,4,0,6,1,0,2,3,3,4,4,2,3,5,0,1,승차,565,2021-01-01,남대구IC2,7041011600,53,대구광역시 달서구 본동
0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,하차,565,2021-01-01,남대구IC2,7041011600,7,대구광역시 달서구 본동
1,0,3,0,4,4,2,3,0,2,2,4,5,0,1,0,0,0,0,승차,3902,2021-01-01,남도버스1,7041060100,31,대구광역시 달서구 진천동
