title,link,description,pubDate
"강진군, 관광택시 '호응'",http://www.jndn.com/article.php?aid=1746601938409059109,"7일 강진군에 따르면 관광택시는 1~3인 소규모 <b>여행</b>객을 대상으로 전문 택시기사가 동행하며, 강진군 내 주요... 단독 이용, 맞춤형 일정, 저렴한 비용까지 삼박자를 고루 갖춘 강진군 관광택시는 강진 <b>여행</b>을 특별하게... ","Wed, 07 May 2025 16:16:00 +0900"
"완도군, 양대 축제 인산인해",https://n.news.naver.com/mnews/article/468/0001145081?sid=102,"‘청정바다로 떠나는 치유와 미식의 <b>여행</b>’을 주제로 개최된 이번 축제는 어린이, 가족 단위, 남녀노소가 함께 즐길 수 있는 체험 프로그램과 볼거리, 먹거리 등이 준비돼 큰 호응을 얻었다. 3일에는 개막식과 함께... ","Wed, 07 May 2025 16:16:00 +0900"
"어딩, 앋트립 14개 파트너사와 '2025 올댓트래블' 참가… 온·오프라인 ...",https://www.nbntv.co.kr/news/articleView.html?idxno=3039065,"파트너 <b>여행</b>사와 함께 참가한다. 이번 박람회는 코엑스, 이데일리, 한국관광스타트업협회, 한국스마트관광협회가 주최 및 주관하며, '<b>여행</b>의 모든 것, 로컬로 통하다!'를 주제로 다양한 분야의 참가 업체를 한자리에서... ","Wed, 07 May 2025 16:16:00 +0900"
“왜 이제야 왔을까” 최다니엘의 한탄...이 늦게 와서 후회했다는 이곳,https://n.news.naver.com/mnews/article/009/0005488281?sid=103,"배우 최다니엘은 요즘 <b>여행</b> 예능 프로그램 대세 출연자로 떠올랐다. 혼자 사는 예능에서 시작해 조곤조곤... 아르헨티나, 르완다, 요르단, 페루 등 고수들도 버킷리스트 <b>여행</b>지로 꼽는 나라를 두려 섭렵하고 돌아왔다.... ","Wed, 07 May 2025 16:15:00 +0900"
"[리뷰] 음악을 듣고 서사를 흡입하는, &lt;페퍼톤스 인 시네마 : 에브리씽 ...",https://m.entertain.naver.com/article/140/0000055100,"페퍼톤스의 객원보컬이었던 김현민이 게스트로 등장해 오랜만에 &lt;해안도로&gt;와 &lt;공원<b>여행</b>&gt;을 부르고, 20주년 기념 앨범에 참여했던 스텔라장이 무대에 올라 목소리를 더한다. 페퍼톤스의 팬도, 페퍼톤스를 알아가고 싶은... ","Wed, 07 May 2025 16:15:00 +0900"
"세븐일레븐, 3천원대 덮밥에 식사빵까지… &quot;주머니 얇은 MZ들 환영해요&quot;",https://n.news.naver.com/mnews/article/009/0005488283?sid=101,최근 들어 사회관계망서비스(SNS)에서 일본 스프레드 상품들이 다양한 맛과 용도로 인기를 끌면서 일본 <b>여행</b> 필수 쇼핑 리스트에도 오르고 있는 만큼 이에 대응해 마루와유지크림브륄레와 마루와유지땅콩크림 2종을... ,"Wed, 07 May 2025 16:15:00 +0900"
[신간] 서울 사찰만 돌아도 불교미술에 대한 안목이 생긴다,https://m.skyedaily.com/news_view.html?ID=272116,"스카이데일리 임유이기자 = 신간 ‘일상이 고고학, 나 혼자 서울 사찰 <b>여행</b>’은 숭유억불 정책으로 불교가... 서울 사찰 <b>여행</b>은 사라진 사찰 원각사로부터 시작해 현존하는 흥천사·봉은사·승가사·옥천암·호국지장사... ","Wed, 07 May 2025 16:14:00 +0900"
구리시 &quot;유채꽃 축제 먹거리 문화누리카드로 결제하세요&quot;,https://www.kfenews.co.kr/news/articleView.html?idxno=635968,'문화누리카드'는 문화체육관광부와 한국문화예술위원회가 지원하는 문화복지 사업으로 6세 이상 기초생활수급자 또는 차상위계층에 연간 14만원을 지원해 문화예술·<b>여행</b>·체육활동 등에 사용할 수 있도록 하는 바우처... ,"Wed, 07 May 2025 16:14:00 +0900"
"여수시, 10번째 웹드라마 '그림자' 제작 스타트…내달 배포 목표",http://www.namdonews.com/news/articleView.html?idxno=818918,"웹드라마 '그림자'는 1화 '시간<b>여행</b>', 2화 '기억의 섬', 3화 '데칼코마니', 4화 '어둠을 지나', 5화 '빛을 향해' 등 총 5화, 50분 내외로 제작된다. 주요 촬영지는 율촌 벚꽃길, 율촌역(폐역), 여자만 상봉데크길, 반월마을, 선소... ","Wed, 07 May 2025 16:14:00 +0900"
"교보생명, 광화문글판 특별편 공개",https://www.lcnews.co.kr/news/articleView.html?idxno=100585,"교보생명 통합 앱에서는 오는 12일부터 다음달 8일까지 가족에게 전하고 싶은 따뜻한 말 한마디를 접수 받는다. 댓글을 남기는 것만으로 응모할 수 있으며, 당첨 시 제주 가족<b>여행</b> 상품권, 외식 상품권 등을 제공한다.","Wed, 07 May 2025 16:14:00 +0900"
올해 홍역 환자 52명…&quot;해외<b>여행</b> 후 발열·발진 시 진료&quot;,https://www.ajunews.com/view/20250507160128316,"com 홍역 발진 증상 [사진=질병관리청[ 전 세계적인 홍역 유행으로 방역당국이 해외<b>여행</b> 후 발열이나 발진... 병원 방문 시 해외<b>여행</b> 이력을 의료진에 알리고, 의료진은 의심 환자로 판단되면 즉시 관할 보건소에... ","Wed, 07 May 2025 16:14:00 +0900"
뜨거운 햇살 막아주고…세련된 핏까지 잡아주네,https://n.news.naver.com/mnews/article/009/0005488279?sid=101,올리비아하슬러는 나들이와 여름휴가 등 본격적으로 야외활동이 증가하는 시기를 겨냥해 일상에서는 물론이고 가벼운 운동과 <b>여행</b>지에서의 스타일 연출까지 가능하도록 상품을 구성했다. 여름 필수 아이템으로 얇고... ,"Wed, 07 May 2025 16:14:00 +0900"
"성남시, '지구촌 어울림 축제' 11일 시청서 열어 세계<b>여행</b>",http://www.globalepic.co.kr/view.php?ud=202505071358133165f69d33b22_29,세계<b>여행</b>’을 주제로 한 다양한 행사가 열린다. 기념식은 이날 오후 2시 시청 광장 특설무대에서 열린다.... 펼쳐질 것”이라면서 “성남에서 세계<b>여행</b>을 하듯 축제를 즐길 바란다”고 말했다. [글로벌에픽 이정훈 CP / ],"Wed, 07 May 2025 16:14:00 +0900"
"코스피, 외국인 대규모 매수에 2,570선 회복…SK하이닉스·한화에어로스...",https://www.topstarnews.net/news/articleView.html?idxno=15658498,"방산, 에너지, 항공 업종에 대한 관심이 돋보였으며, 특히 항공주 대한항공에 대한 기관 매수세는 <b>여행</b>수요 회복 기대를 반영한 것으로 풀이된다. 그러나 HD현대중공업(314억원), 기아(232억원), 한화오션(215억원)... ","Wed, 07 May 2025 16:14:00 +0900"
"코레일, ‘지역사랑 철도<b>여행</b>’ 8만명 돌파…지방 활성화 앞장",https://n.news.naver.com/mnews/article/119/0002953309?sid=101,"한국철도공사(코레일)는 '지역사랑 철도<b>여행</b>' 상품이 출시 8개월 만에 8만명이 이용하는 성과를 냈다고 7일 밝혔다. 지역사랑 철도 <b>여행</b>상품은 코레일과 국토교통부, 행정안전부 등의 정부 부처와 한국관광공사... ","Wed, 07 May 2025 16:13:00 +0900"
"완도군, '치유 페이' 3000명 이용 이벤트",http://www.jnilbo.com/76947573371,"7일 완도군에 따르면 ‘완도 치유 페이’는 <b>여행</b> 경비의 최대 20만원을 지원해 주는 관광 정책으로, 지난 3월1일 첫 번째 방문객 환영 이벤트를 시작한 이후 1000번째, 3000번째 이용객을 맞이했다. 서정창 완도군... ","Wed, 07 May 2025 16:13:00 +0900"
"신한은행, 을지로입구역에 `SOL트래블 라운지` 오픈",https://n.news.naver.com/mnews/article/029/0002952905?sid=101,'SOL트래블 라운지'는 그룹의 대표 <b>여행</b>자카드인 'SOL트래블카드'의 브랜드를 오프라인으로 확장한... 신한은행 관계자는 &quot;해외로 떠나는 <b>여행</b>객 및 외국인 관광객이 SOL트래블라운지로 편리한 환전 서비스를... ,"Wed, 07 May 2025 16:13:00 +0900"
"롯데면세점, 해외<b>여행</b> 떠나기전…면세쇼핑 똘똘하게 즐기세요",https://n.news.naver.com/mnews/article/009/0005488268?sid=101,다가오는 여름휴가철 해외<b>여행</b>을 떠나는 고객에게 더욱 풍성한 혜택을 제공하겠다는 각오다.... 롯데면세점 시내점에서 300달러 이상 구매하고 응모한 내국인 고객을 대상으로 추첨을 통해 1등 하와이 <b>여행</b>권(1명... ,"Wed, 07 May 2025 16:12:00 +0900"
"성남시, 11일 '제14회 지구촌 어울림 축제' 개최",http://www.enewstoday.co.kr/news/articleView.html?idxno=2273703,"'성남시에서 떠나는 세계<b>여행</b>'을 주제로 열리는 이번 축제에는 외국인 주민, 다문화가족, 일반시민 등 5,000여 명이 참여할 것으로 예상된다. 오후 2시 시청 광장 특설무대에서 열리는 기념식에는 27개 나라 국기 퍼레이드... ","Wed, 07 May 2025 16:12:00 +0900"
"GS25, 지역 상생 및 차별화된 경험 제공…전국 각지 수제맥주 출시",https://www.lcnews.co.kr/news/articleView.html?idxno=100583,'주루마블'은 전국 각 지역의 특색 있는 수제맥주를 소개하며 고객들이 전국을 <b>여행</b>하듯 다양한 맛의 맥주를 경험할 수 있도록 기획된 프로젝트다. 단순한 주류 유통을 넘어 지역 특산물과 문화를 알리고 상생의... ,"Wed, 07 May 2025 16:12:00 +0900"
"이장우 대전시장 &quot;잼잼도시, 젊은도시로 상승 기운… 꿈돌이 세계화&quot;",https://www.newscj.com/news/articleView.html?idxno=3266614,"대전시는 야놀자, 인터파크 투어, 트리플의 <b>여행</b>·여가 트랜드 예약 데이터 분석 결과, 최장 6일간의 황금연휴가 가능했던 지난 1일부터 6일까지의 국내 숙박 예약 건수에서 숙박 예약 건수 성장률이 전년동기 대비 190%로... ","Wed, 07 May 2025 16:10:00 +0900"
"카카오페이, 1분기 순익 144억원 '흑자전환'",https://www.news2day.co.kr/article/20250507500201,"카카오페이손보는 국내<b>여행</b>보험, 선물하는 자녀보험 등 신규 상품을 연속 출시하며 상품 라인업을 확장했다. 카카오페이 관계자는 &quot;결제·금융·기타 서비스 등 모든 사업 영역이 고르게 성장한 가운데 금융... ","Wed, 07 May 2025 16:10:00 +0900"
에디터가 추천하는 일본 사가 료칸 &amp; 호텔,https://www.travie.com/news/articleView.html?idxno=54197,온천과 도심 <b>여행</b>이 매력인 지역이다. <b>여행</b> 준비의 첫걸음은 숙소 선정이다. 사가를 잘 느낄 수 있는 3곳의 둥지를 모았다. 삼나무가 전하는 힐링 온크리 사가에는 특별한 온천이 있다. 같은 현에 우레시노와 다케오라는... ,"Wed, 07 May 2025 16:10:00 +0900"
"에픽하이, BTS 컬래버 이어 겹경사…제대로 '금 방석' 앉는다",https://m.entertain.naver.com/article/213/0001337462,"에픽하이 채널은 이 밖에도 사주풀이, 칵테일 제조, 정신건강 상담, <b>여행</b>기 등 장르를 가리지 않는 다채로운 콘텐츠로 채워지고 있다. 음악뿐 아니라 인간으로서의 모습을 있는 그대로 보여주는 이들의 콘텐츠는... ","Wed, 07 May 2025 16:09:00 +0900"
"신한은행, 'SOL트래블 라운지' 을지로입구역점 오픈",https://www.slist.kr/news/articleView.html?idxno=641297,"'SOL트래블 라운지'는 그룹의 대표 <b>여행</b>자카드인 'SOL트래블카드'의 브랜드를 오프라인으로 확장한 공간으로, 고객들은 최대 미화 2천달러까지 ▲주요통화 4종(USD·JPY·EUR·CNY) ▲기타통화 6종(THB·PHP·VND·SGD·TWD... ","Wed, 07 May 2025 16:08:00 +0900"
"[인터뷰] 그림책과 미술로 마음을 키우다, 독서미술학원 '니즈아트' 정도...",http://www.sisacast.kr/news/articleView.html?idxno=73477,"그러던 어느 날, <b>여행</b> 갔던 바다 사진을 뽑아오더니 그 바다를 보고 물감으로 표현하면서 '행복하다'고 말했어요. 그 순간 막혀있던 감정의 어느 부분이 확 뚫렸다는 것 느낄 수 있었습니다. 이제 자신의 정교함을... ","Wed, 07 May 2025 16:08:00 +0900"
