rank,cctvUid,cctvNm,cctvCount,lat,lon
1445,CTV0001002,중동515-4_동쪽_101352,4991,35.847983,128.611316
1446,CTV0002604,본관뒤편창고옆(동산04),4983,35.84907,128.627928
1447,CTV0000830,만촌1동423-1_동남쪽_101180,4968,35.867989,128.636582
1448,CTV0001468,범물1동1266_101150,4952,35.822367,128.644919
1449,CTV0002205,매호동607-3_북동쪽_101536,4949,35.841622,128.713428
1450,CTV0000971,만촌2동972-16_남쪽_101321,4941,35.866871,128.644753
1451,CTV0000717,만촌3동842-3_101004,4935,35.847405,128.652729
1452,CTV0002271,욱수동43_700017,4931,35.830436,128.710394
1453,CTV0000104,황금2동879_100017,4927,35.841894,128.618827
1454,CTV0000110,범어2동235-39_100023,4921,35.860815,128.639623
1455,CTV0000991,황금1동391_북쪽_101341,4913,35.843543,128.636765
1456,CTV0000480,만촌2동990-51_100722,4896,35.865504,128.647051
1457,CTV0002414,강당밑주차장1(대청16),4895,35.851036,128.650413
1458,CTV0002728,만촌1동643-14_101636,4879,35.8738624,128.6445915
1459,CTV0001075,수성3가동391-2_동쪽_101428,4871,35.85095843,128.6169953
1460,CTV0002714,만촌1동668-5_101622,4864,35.867933,128.644557
1461,CTV0002622,본관뒤편경사로(범어06),4857,35.860581,128.632761
1462,CTV0000649,중동118-10_동쪽_100935,4856,35.843463,128.614689
1463,CTV0000169,만촌2동1018-48_100104,4853,35.862707,128.641501
1464,CTV0001485,만촌1동산90(영남제일관내부4)_300045,4825,35.875305,128.65824
1465,CTV0002049,정문도로(청림01),4816,35.835638,128.703309
1466,CTV0001062,범물1동1180-2_101412,4811,35.802823,128.663578
1467,CTV0001848,본관동편출입구(욱수15)_,4809,35.831124,128.707641
1468,CTV0002009,운동장전체(동산14),4800,35.84907,128.627928
1469,CTV0001740,급수대(시지10),4799,35.84351,128.703264
1470,CTV0000106,범물2동1350-14_100019,4787,35.818193,128.638595
1471,CTV0001049,대흥동산34-3_101399,4779,35.820023,128.685549
1472,CTV0001245,지산2동1272_1(용지초정문옆)_100316,4774,35.825306,128.629555
1473,CTV0000293,만촌1동608-14_100353,4774,35.875292,128.644342
1474,CTV0001988,운동장(청림14),4771,35.835638,128.703309
1475,CTV0002214,지산2동산136_101544,4766,35.818093,128.635398
1476,CTV0002521,동관북쪽출입구(만촌09),4765,35.866863,128.647761
1477,CTV0001832,본관2층계단(삼육11),4764,35.839911,128.610579
1478,CTV0000071,범물2동1348(중앙어린이공원)_100538,4756,35.817948,128.638482
1479,CTV0000323,범어2동417-6_100383,4750,35.864192,128.636998
1480,CTV0000142,범어2동394-18_100064,4739,35.863136,128.63644
1481,CTV0001260,범어4동271-87_100400,4733,35.854263,128.63632
1482,CTV0001915,사월09,4716,35.833859,128.715246
1483,CTV0000483,범어2동53-3_서쪽_100725,4708,35.865558,128.629785
1484,CTV0000586,연호동53-2_100872,4708,35.846166,128.673851
1485,CTV0002150,후관뒤쓰레기장(성동03),4706,35.841491,128.63213
1486,CTV0001754,급식실앞놀이터(청림08),4687,35.835638,128.703309
1487,CTV0002607,1-2앞(모래놀이터)(중앙05),4683,35.817948,128.638482
1488,CTV0000909,범어1동685-15_남쪽_101259,4677,35.848622,128.62693
1489,CTV0000201,황금2동836-7_100138,4671,35.843511,128.622636
1490,CTV0001192,범물2동513_100213,4640,35.815199,128.642752
1491,CTV0002595,본관앞쪽정문방향(파동01),4639,35.824284,128.60801
1492,CTV0000864,황금2동870-6_남쪽_101214,4639,35.841679,128.620252
1493,CTV0000229,범어1동377-65_100168,4610,35.856171,128.628524
1494,CTV0001513,만촌2동715-1(모명재)_300047,4596,35.858389,128.65158
1495,CTV0001404,만촌3동1088-7_100760,4589,35.852325,128.644727
1496,CTV0002387,신관앞운동장(범일05),4576,35.816243,128.639464
1497,CTV0000863,황금2동870-6_북쪽_101213,4571,35.841679,128.620252
1498,CTV0000598,범어4동64-91_북쪽_100884,4560,35.856185,128.642826
1499,CTV0002448,정문및주변(지산01),4560,35.827117,128.62999
1500,CTV0002426,범일중학교담장(범물10),4556,35.8215275,128.6451281
1501,CTV0000010,상동44(상동소공원)_100243,4551,35.830122,128.612516
1502,CTV0000543,수성4가동1026-23_서쪽_100829,4550,35.863629,128.617361
1503,CTV0001238,파동8_100309,4547,35.82495,128.608164
1504,CTV0001951,식당출구(시지08),4531,35.84351,128.703264
1505,CTV0002582,남쪽출입문(성동12),4525,35.841491,128.63213
1506,CTV0000195,성동343-3_100132,4513,35.848646,128.720921
1507,CTV0000532,만촌2동1005-31_서쪽_100818,4502,35.864135,128.646737
1508,CTV0001164,지산1동527_남동쪽_101521,4499,35.825014,128.638023
1509,CTV0001294,지산2동1192-22_100488,4483,35.820937,128.629302
1510,CTV0002659,수영장출입구(수성14),4482,35.8371448,128.6100157
1511,CTV0001559,범물1동951(진밭골개울가우측)_300086,4481,35.816959,128.660388
1512,CTV0000616,중동23-9_북쪽_100902,4476,35.849632,128.615708
1513,CTV0000733,범어2동222-7_북쪽_101020,4471,35.85976623,128.6396889
1514,CTV0000928,파동251-2_남쪽_101278,4461,35.811709,128.620783
1515,CTV0001218,만촌1동262(동문초교)_100265,4456,35.874105,128.651793
1516,CTV0001653,1동건물뒤복동쪽(수돗가)(두산14),4443,35.832514,128.625868
1517,CTV0000992,황금2동818-6_101342,4438,35.843498,128.617407
1518,CTV0002645,주차장5(들안길13),4421,35.8389183,128.6183819
1519,CTV0000369,연호동96_100558,4396,35.84474,128.669735
1520,CTV0002296,후관1층서편측면조리실(동도21),4387,35.857024,128.623882
1521,CTV0002609,강당주차장안쪽(식당-주차장통로)(중앙07),4384,35.817948,128.638482
1522,CTV0001416,만촌3동875_남쪽_101081,4374,35.850026,128.649158
1523,CTV0001828,본관1층(삼육03),4369,35.839911,128.610579
1524,CTV0000782,연호동105-3_101069,4365,35.845883,128.672122
1525,CTV0002492,강당서쪽산방향(파동09),4365,35.824284,128.60801
1526,CTV0000197,범어4동269-1_100134,4362,35.855975,128.636899
1527,CTV0001182,범물1동1321-5_100203,4359,35.817691,128.646405
1528,CTV0002548,주차장2(동원10),4349,35.8652208,128.640122
1529,CTV0002376,급수대(매호15),4336,35.8414878,128.712805
1530,CTV0002754,수성2가동193_동쪽_101662,4332,35.853234,128.614333
1531,CTV0001909,사월03,4285,35.833859,128.715246
1532,CTV0001947,스탠드(동천17),4276,35.865813,128.625014
1533,CTV0000911,범어4동64-19_북동쪽_101261,4262,35.85653,128.642337
1534,CTV0001984,운동장(삼육09),4258,35.839911,128.610579
1535,CTV0000282,만촌2동952-6_100340,4257,35.864608,128.64088
1536,CTV0001401,범물2동695(삼덕유치원)_100746,4254,35.814187,128.643926
1537,CTV0002361,범어1동238-3(수성구청본관옥상)_101619,4232,35.858269,128.630628
1538,CTV0002498,본관후관연결로(신매09),4231,35.836088,128.708975
1539,CTV0000295,만촌2동1016-87_100355,4217,35.861554,128.641912
1540,CTV0002305,만촌1동672-9_101564,4211,35.868244,128.645177
1541,CTV0000032,만촌3동874-2(봉선화어린이공원)_100429,4200,35.850651,128.649468
1542,CTV0000981,수성1가동652-9_101331,4193,35.849922,128.61035
1543,CTV0001472,범물1동1296-3_서쪽_101444,4190,35.817012,128.647736
1544,CTV0000823,범어4동75-21_101173,4183,35.856057,128.640467
1545,CTV0002404,본관뒤쪽(범물04),4182,35.8215275,128.6451281
1546,CTV0000569,수성1가동96-244_북쪽_100855,4178,35.859885,128.609817
1547,CTV0000383,만촌2동964-8_100625,4166,35.861408,128.649125
1548,CTV0002207,삼덕동106_101537,4164,35.834073,128.677637
1549,CTV0002738,범물2동1359-5_남쪽_101646,4158,35.816609,128.63866
1550,CTV0000790,만촌1동190-3_남쪽_101135,4153,35.877269,128.647881
1551,CTV0002440,쓰레기장(지봉04),4152,35.825289,128.640523
1552,CTV0000551,상동392-1_100837,4144,35.832187,128.613924
1553,CTV0002466,후문(노변04),4140,35.8377186,128.6974833
1554,CTV0001792,다니엘관앞(삼육12),4139,35.839911,128.610579
1555,CTV0001001,중동91-3_동쪽_101351,4132,35.845593,128.613773
1556,CTV0001515,만촌2동715-1(모명재)_300049,4127,35.858389,128.65158
1557,CTV0000858,황금1동395-1_서쪽_101208,4121,35.843081,128.635171
1558,CTV0002359,범어1동238-3(수성구청별관옥상)_101617,4119,35.858134,128.62999
1559,CTV0001335,만촌1동79-1맞은편_100531,4112,35.8751408,128.6527116
1560,CTV0001251,중동410-1(삼육초교주변)_100322,4102,35.839762,128.610299
1561,CTV0000718,만촌3동842-3_서쪽_101005,4097,35.847405,128.652729
1562,CTV0000618,중동551-3_북쪽_100904,4080,35.842642,128.608624
1563,CTV0001831,본관2층(삼육04),4069,35.839911,128.610579
1564,CTV0000479,만촌2동990-41_100721,4059,35.865062,128.645996
1565,CTV0002283,시지동462-20_700029,4042,35.841467,128.692129
1566,CTV0000803,수성1가동515_남쪽_101153,4041,35.849597,128.612433
1567,CTV0000609,수성4가동1236-17_100895,4037,35.861627,128.610554
1568,CTV0000628,지산2동1205-19_남서쪽_100914,4028,35.81965,128.635261
1569,CTV0002673,강당동주차장_왼쪽(경동),4019,35.8521375,128.6395086
1570,CTV0002453,본관동동편주차장(복명03),4009,35.817636,128.647293
1571,CTV0000952,범어2동430-17_남서쪽_101302,4009,35.865178,128.635917
1572,CTV0000211,범물2동1341-5_100150,4002,35.818301,128.637075
1573,CTV0000762,지산1동1265-3_북쪽_101049,4000,35.826122,128.632698
1574,CTV0000287,만촌2동963-3_100345,3997,35.865624,128.642295
1575,CTV0000715,만촌3동816_101002,3979,35.849176,128.653294
1576,CTV0002410,중정파고라(매동08),3978,35.8452426,128.7090979
1577,CTV0000953,범어2동430-17_북동쪽_101303,3973,35.865178,128.635917
1578,CTV0001023,지산1동991-1_101373,3959,35.836529,128.626031
1579,CTV0002458,주차장5(복명19),3958,35.817636,128.647293
1580,CTV0000525,범어4동208-1_동쪽_100811,3955,35.858193,128.636844
1581,CTV0000507,만촌3동859-30_동쪽_100770,3953,35.855101,128.652284
1582,CTV0000534,만촌2동995-13_북쪽_100820,3948,35.861949,128.647601
1583,CTV0000437,파동23-61_100679,3947,35.819783,128.612012
1584,CTV0000030,범어2동416-9(계림어린이공원)_100427,3941,35.863424,128.63793
1585,CTV0000812,범어2동52-29_서쪽_101162,3935,35.864564,128.630784
1586,CTV0002408,중앙현관(복명06),3917,35.817636,128.647293
1587,CTV0000356,만촌1동383-1_100545,3917,35.876378,128.647003
1588,CTV0001085,두산동163-15_101438,3915,35.831864,128.62027
1589,CTV0001983,운동장(삼육08),3897,35.839911,128.610579
1590,CTV0001975,우유창고출입현관방향(대청21),3892,35.851036,128.650413
1591,CTV0001410,만촌3동876-5_101075,3888,35.849952,128.65052
1592,CTV0000779,만촌2동978-23_북쪽_101066,3879,35.86624,128.648989
1593,CTV0000309,가천동458-1_100369,3862,35.852701,128.685475
1594,CTV0002262,성동566-36_400005,3862,35.851707,128.722809
1595,CTV0002677,놀이마당(들안길02),3862,35.8389183,128.6183819
1596,CTV0001257,범물2동702(삼덕유치원)_100397,3860,35.814601,128.64458
1597,CTV0002702,운동장벤치(용지10),3855,35.82255,128.632677
1598,CTV0002001,운동장북서쪽(조례대)(두산15),3852,35.832514,128.625868
1599,CTV0001398,지산1동1027-6_북쪽(남양학교)_100743,3852,35.831933,128.628455
1600,CTV0002444,본관서쪽4층급식실(지봉01),3850,35.825289,128.640523
1601,CTV0000366,황금2동706-35_100555,3848,35.850201,128.621104
1602,CTV0000797,만촌1동214_101142,3844,35.875578,128.647872
1603,CTV0001871,본관서편(욱수09)_,3818,35.831124,128.707641
1604,CTV0000183,만촌2동979-21_100119,3815,35.865621,128.648552
1605,CTV0000751,황금2동795-7_101038,3805,35.844572,128.621462
1606,CTV0000764,범물1동1262_101051,3803,35.824373,128.644804
1607,CTV0000711,황금2동855_100997,3800,35.842009,128.621792
1608,CTV0001083,두산동149-12_서쪽_101436,3771,35.833805,128.61839
1609,CTV0002651,강당주차장차량출입문(파동12),3756,35.824284,128.60801
1610,CTV0000936,만촌1동1221-13_북쪽삼거리_북서쪽_101286,3743,35.873909,128.654545
1611,CTV0002485,동편통로(욱수07),3736,35.831124,128.707641
1612,CTV0000716,만촌3동816_북쪽_101003,3734,35.849176,128.653294
1613,CTV0000279,만촌1동663-6_100337,3728,35.86876,128.64274
1614,CTV0001411,만촌3동876-5_북쪽_101076,3726,35.849952,128.65052
1615,CTV0000789,만촌1동190-3_101134,3718,35.877321,128.648279
1616,CTV0002390,본관뒤편담장주변(범일09),3709,35.816243,128.639464
1617,CTV0002559,급식실측면(역사관-급식실사이현관)(중앙01),3708,35.817948,128.638482
1618,CTV0000385,범어1동385-48_100627,3705,35.855467,128.6285
1619,CTV0001093,대흥동448-1_101449,3698,35.831069,128.684451
1620,CTV0000652,파동23-87_북쪽_100938,3683,35.818654,128.612314
1621,CTV0000481,수성4가동1020-17_동쪽_100723,3680,35.86044,128.618356
1622,CTV0000918,만촌3동853-9_101268,3667,35.856358,128.649861
1623,CTV0000959,범어4동77-41_동쪽_101309,3652,35.854774,128.641469
1624,CTV0001789,다니엘관2층(삼육15),3631,35.839911,128.610579
1625,CTV0002650,정문(들안길08),3626,35.8389183,128.6183819
1626,CTV0000255,황금2동808-24_100256,3615,35.844796,128.618324
1627,CTV0002467,돌봄1(노변05),3603,35.8377186,128.6974833
1628,CTV0000259,만촌2동1022-6_동쪽_100260,3591,35.86187,128.640905
1629,CTV0001665,3동변압기(두산03),3588,35.832514,128.625868
1630,CTV0000608,수성2가동199-1_동쪽_100894,3581,35.852671,128.615219
1631,CTV0002605,본관뒤편주차장(동산05),3576,35.84907,128.627928
1632,CTV0000494,파동446-3_100753,3575,35.807306,128.624237
1633,CTV0000326,범어2동401-13_100386,3562,35.862253,128.637517
1634,CTV0000663,연호동133-3_100949,3552,35.843307,128.670727
1635,CTV0000353,만촌1동673-7_100527,3539,35.87025,128.645812
1636,CTV0000574,범물2동1339-14_100860,3530,35.818669,128.637949
1637,CTV0000027,중동127(상록수어린이공원)_100289,3528,35.843976,128.615618
1638,CTV0000757,파동153_서쪽_101044,3525,35.81397,128.618825
1639,CTV0001982,운동장(삼육06),3520,35.839911,128.610579
1640,CTV0002246,노변동741(그린공원)_300132,3505,35.8368,128.694118
1641,CTV0001731,과학실쪽출입구현관(대청19),3494,35.851036,128.650413
1642,CTV0000796,만촌1동349-2_남쪽_101141,3492,35.875216,128.649188
1643,CTV0002396,유치원현관(매동03),3483,35.8452426,128.7090979
1644,CTV0002477,뒷동(노변09),3482,35.8377186,128.6974833
1645,CTV0002358,범어1동238-3(수성구청별관옥상)_101616,3481,35.858134,128.62999
1646,CTV0002742,만촌1동262_북서쪽_101650,3480,35.874105,128.651793
1647,CTV0000697,상동326-6_남쪽_100983,3468,35.833588,128.614447
1648,CTV0000527,범어4동65-54_동쪽_100813,3465,35.856709,128.640338
1649,CTV0000946,범어1동899-34_서쪽_101296,3462,35.854063,128.627319
1650,CTV0002567,유치원놀이터(수성03),3460,35.8371448,128.6100157
1651,CTV0001479,고모동20-5(수성패밀리파크)_300073,3452,35.870422,128.674056
1652,CTV0002628,운동장우측(시지03),3444,35.84351,128.703264
1653,CTV0002003,운동장씨름장주변(욱수12)_,3442,35.831124,128.707641
1654,CTV0002470,주차장2(노변14),3442,35.8377186,128.6974833
1655,CTV0002297,후관1층서편측면조리실(동도22),3439,35.857024,128.623882
1656,CTV0001414,만촌3동862-14_서쪽_101079,3437,35.852868,128.65131
1657,CTV0002452,서편급수대(복명09),3428,35.817636,128.647293
1658,CTV0001189,범물2동1359-5_100210,3415,35.816609,128.63866
1659,CTV0001068,범어2동427-6_남쪽_101420,3415,35.8671,128.636223
