cctvUid,cctvNm,lat,lon,cctvCount,boongi
CTV0002561,강당주차장측면(후문오르막)(중앙03),35.817948,128.638482,288,1
CTV0002606,강당주차장안쪽(분리수거장)(중앙04),35.817948,128.638482,333,1
CTV0002607,1-2앞(모래놀이터)(중앙05),35.817948,128.638482,4,1
CTV0002608,남쪽현관측면(유치원건물북편)(중앙06),35.817948,128.638482,8,1
CTV0002609,강당주차장안쪽(식당-주차장통로)(중앙07),35.817948,128.638482,136,1
CTV0002610,북편(1층급식실뒤편)(중앙08),35.817948,128.638482,21,1
CTV0002540,강당서편(동원02),35.8652208,128.640122,256,1
CTV0002544,남편뒤뜰(동원06),35.8652208,128.640122,136,1
CTV0002546,돌봄교실앞(동원08),35.8652208,128.640122,10,1
CTV0002543,동편뒤뜰(동원05),35.8652208,128.640122,181,1
CTV0002547,본관(동원09),35.8652208,128.640122,186,1
CTV0002542,서편현관(동원04),35.8652208,128.640122,209,1
CTV0002539,운동장출입구(동원13),35.8652208,128.640122,56,1
CTV0002545,유치원현관(동원07),35.8652208,128.640122,2,1
CTV0002511,정문(동원01),35.8652208,128.640122,248,1
CTV0002549,주차장1(동원11),35.8652208,128.640122,334,1
CTV0002548,주차장2(동원10),35.8652208,128.640122,100,1
CTV0002541,중앙현관(동원03),35.8652208,128.640122,50,1
CTV0002538,체육관출입구(동원12),35.8652208,128.640122,25,1
CTV0002531,강당입구(만촌01),35.866863,128.647761,44,1
CTV0002532,교문_후문(만촌13),35.866863,128.647761,24,1
CTV0002533,급식실후문(만촌02),35.866863,128.647761,54,1
CTV0002521,동관북쪽출입구(만촌09),35.866863,128.647761,16,1
CTV0002536,동관앞운동장(만촌04),35.866863,128.647761,30,1
CTV0002535,동관중앙현관(만촌15),35.866863,128.647761,148,1
CTV0002537,동관통로(만촌05),35.866863,128.647761,38,1
CTV0001838,본관당직실위(만촌10)_,35.866863,128.647761,6,1
CTV0002534,본관뒤뜰(만촌14),35.866863,128.647761,18,1
CTV0001863,본관보건실위(만촌11)_,35.866863,128.647761,11,1
CTV0002523,임간교실늑목철봉(만촌07),35.866863,128.647761,14,1
CTV0002519,주차장내부(만촌08),35.866863,128.647761,114,1
CTV0002520,주차장입구및창고(만촌06),35.866863,128.647761,14,1
CTV0002124,청담관주차장외부기둥(만촌12)_,35.866863,128.647761,26,1
CTV0002522,후문및기계실(만촌03),35.866863,128.647761,22,1
CTV0000416,만촌2동1008-41_100658,35.863293,128.645094,203,1
CTV0001426,만촌3동1088(만촌아이숲유치원)동쪽_101091,35.852325,128.644727,9,1
CTV0000922,만촌3동861-5_동쪽_101272,35.853829,128.654125,6,1
CTV0000975,만촌3동869-3_동쪽_101325,35.85078,128.653399,38,1
CTV0001386,황금1동79_남쪽(황금유치원)_100731,35.842598,128.639596,21,1
CTV0001129,황금2동810-14_남쪽_101486,35.845209,128.617452,22,1
CTV0001130,황금2동810-14_북쪽_101487,35.845209,128.617452,17,1
CTV0001120,황금2동869-8_남쪽_101477,35.842504,128.620324,31,1
CTV0002150,후관뒤쓰레기장(성동03),35.841491,128.63213,60,1
CTV0002149,후관뒤서쪽출입구(성동05),35.841491,128.63213,14,1
CTV0002582,남쪽출입문(성동12),35.841491,128.63213,23,1
CTV0000775,신매동170-12_북쪽_101062,35.83656,128.712378,43,1
CTV0001215,신매동54-11(사월초교)_100262,35.834518,128.715031,56,1
CTV0000687,신매동581-2_서쪽_100973,35.834284,128.70543,55,1
CTV0000404,신매동585-7_100646,35.833681,128.708647,71,1
CTV0000631,신매동586-5_100917,35.834047,128.708212,17,1
CTV0000049,신매동598(두리어린이공원)_100466,35.831414,128.703674,83,1
CTV0000577,욱수동137_100863,35.828344,128.708899,36,1
CTV0001064,시지동209-1_101414,35.841583,128.685286,8,1
CTV0001053,시지동493-15_101403,35.837662,128.6951,93,1
CTV0002470,주차장2(노변14),35.8377186,128.6974833,8,1
CTV0000904,매호동100-1_남쪽_101254,35.8552,128.709555,35,1
CTV0001462,매호동574-2(매호초교)_101127,35.841532,128.714977,18,1
CTV0001063,고모동산54-2_101413,35.866225,128.670531,14,1
CTV0000515,대흥동149_북서쪽_100779,35.832879,128.684422,43,1
CTV0000514,대흥동149_북쪽_100778,35.832866,128.684661,15,1
CTV0000304,대흥동433-4_100364,35.830809,128.682984,62,1
CTV0000341,대흥동445-4_100454,35.829652,128.684304,69,1
CTV0001048,대흥동496-6_101398,35.829475,128.68549,51,1
CTV0001044,삼덕동213-1_101394,35.831481,128.680181,67,1
CTV0001045,삼덕동213-1_남쪽_101395,35.831481,128.680181,22,1
CTV0000902,삼덕동343-3_남쪽_101252,35.829575,128.678199,37,1
CTV0000714,삼덕동473-1_101000,35.829968,128.67006,20,1
CTV0000942,삼덕동529_북쪽_101292,35.829818,128.668194,47,1
CTV0000579,삼덕동532_100865,35.829425,128.668926,37,1
CTV0000580,삼덕동532_남서쪽_100866,35.829425,128.668926,33,1
CTV0001097,삼덕동552-1_101453,35.82803007,128.6686053,150,1
CTV0001098,삼덕동552-1_남서쪽_101454,35.82803007,128.6686053,28,1
CTV0000664,연호동133-3_남동쪽_100950,35.843307,128.670727,82,1
CTV0000665,연호동133-3_북서쪽_100951,35.843307,128.670727,140,1
CTV0000785,연호동154-44_남쪽_101072,35.845301,128.672985,44,1
CTV0000303,연호동259-1_100363,35.841429,128.67252,488,1
CTV0000499,연호동424-3_100758,35.83695,128.66768,49,1
CTV0000307,이천동326-2_100367,35.839499,128.658169,82,1
CTV0000516,이천동655-144_100800,35.846702,128.607594,131,1
CTV0002416,고산04(고산),35.843638,128.693003,408,1
CTV0002417,고산05(고산),35.843638,128.693003,258,1
CTV0002462,고산06(고산),35.843638,128.693003,605,1
CTV0002419,고산07(고산),35.843638,128.693003,22,1
CTV0002420,고산10(고산),35.843638,128.693003,112,1
CTV0002483,고산11(고산),35.843638,128.693003,132,1
CTV0002464,고산12(고산),35.843638,128.693003,132,1
CTV0001723,고산13(고산)_,35.843638,128.693003,1153,1
CTV0002486,고산16(고산),35.843638,128.693003,2072,1
CTV0001907,사월01,35.833859,128.715246,103,1
CTV0001908,사월02,35.833859,128.715246,33,1
CTV0001909,사월03,35.833859,128.715246,10,1
CTV0001910,사월04,35.833859,128.715246,499,1
CTV0001911,사월05,35.833859,128.715246,32,1
CTV0001912,사월06,35.833859,128.715246,57,1
CTV0001913,사월07,35.833859,128.715246,269,1
CTV0001914,사월08,35.833859,128.715246,314,1
CTV0001915,사월09,35.833859,128.715246,298,1
CTV0001916,사월10,35.833859,128.715246,63,1
CTV0001917,사월11,35.833859,128.715246,100,1
CTV0001918,사월12,35.833859,128.715246,171,1
CTV0001919,사월13,35.833859,128.715246,6,1
CTV0001920,사월14,35.833859,128.715246,181,1
CTV0001921,사월15,35.833859,128.715246,3258,1
CTV0001922,사월16,35.833859,128.715246,42,1
CTV0001740,급수대(시지10),35.84351,128.703264,335,1
CTV0001743,급식소뒤편1(시지14),35.84351,128.703264,135,1
CTV0001744,급식소뒤편2(시지15),35.84351,128.703264,48,1
CTV0002692,매호중담장(시지12),35.84351,128.703264,144,1
CTV0001829,본관1층계단(시지06),35.84351,128.703264,26,1
CTV0001950,식당입구(시지07),35.84351,128.703264,11,1
CTV0001951,식당출구(시지08),35.84351,128.703264,115,1
CTV0001963,쓰레기장(시지16),35.84351,128.703264,544,1
CTV0001970,영어체험실앞(시지05),35.84351,128.703264,161,1
CTV0002628,운동장우측(시지03),35.84351,128.703264,421,1
CTV0002627,운동장좌측(시지02),35.84351,128.703264,52,1
CTV0002630,운동장파고라(시지11),35.84351,128.703264,287,1
CTV0002691,주차장(시지09),35.84351,128.703264,86,1
CTV0002109,중앙현관(시지04),35.84351,128.703264,11,1
CTV0002690,텃밭(시지13),35.84351,128.703264,5,1
CTV0002373,본관동편(매동02),35.8452426,128.7090979,234,1
CTV0002395,본관서편현관(매동01),35.8452426,128.7090979,52,1
CTV0002396,유치원현관(매동03),35.8452426,128.7090979,112,1
CTV0002410,중정파고라(매동08),35.8452426,128.7090979,190,1
CTV0002398,후관동편(매동07),35.8452426,128.7090979,116,1
CTV0002397,후관북편(매동06),35.8452426,128.7090979,143,1
CTV0002503,서편진입로(매호03),35.8414878,128.712805,88,1
CTV0002117,지킴이실(매호02),35.8414878,128.712805,146,1
CTV0002382,북편주차로(매호04),35.8414878,128.712805,65,1
CTV0002381,본관현관문(매호13),35.8414878,128.712805,78,1
CTV0002379,정문(매호01),35.8414878,128.712805,99,1
CTV0002380,강당주차장내부(매호08),35.8414878,128.712805,190,1
CTV0002501,컨테이너창고(매호16),35.8414878,128.712805,15,1
CTV0002378,후문(매호09),35.8414878,128.712805,56,1
CTV0002166,후문운동장(매호10),35.8414878,128.712805,45,1
CTV0001477,고모동20-5(수성패밀리파크)_300071,35.870422,128.674056,86,1
CTV0000086,가천동산11-3(천을산-정상부)_600007,35.851083,128.694017,29,1
CTV0000087,욱수동산305(감태봉)_600001,35.793044,128.677286,6,1
CTV0000089,연호동산7(연호관망대)_600004,35.8353,128.673406,13,1
CTV0000091,지산1동산12-1(조일골)_600002,35.835347,128.646047,34,1
CTV0000092,파동산18(법이산)_600005,35.816125,128.616278,46,1
CTV0001726,고산17(고산),35.843638,128.693003,154,1
CTV0001727,고산18(고산),35.843638,128.693003,288,1
CTV0001728,고산19(고산),35.843638,128.693003,113,1
CTV0001729,고산20(고산),35.843638,128.693003,141,1
CTV0000138,수성4가동1028-10_100060,35.862314,128.616958,40,1
CTV0001741,급수대서쪽담장(동성12),35.853031,128.612508,47,1
CTV0002033,정글집주변(동성09),35.853031,128.612508,229,1
CTV0002516,놀이터(동일12),35.85801,128.616951,27,1
CTV0001855,본관뒤편(동일05),35.85801,128.616951,48,1
CTV0002514,본관측편(동일04),35.85801,128.616951,24,1
CTV0002073,주차장1(동일07),35.85801,128.616951,5,1
CTV0002515,필로티주차장뒤쪽(동일11),35.85801,128.616951,2,1
CTV0002517,후문주차장(동일13),35.85801,128.616951,1,1
CTV0002657,어린이놀이시설(수성15),35.8371448,128.6100157,42,1
CTV0002567,유치원놀이터(수성03),35.8371448,128.6100157,28,1
CTV0002658,텃밭및주차장(수성13),35.8371448,128.6100157,32,1
CTV0000927,파동251-2_동쪽_101277,35.811709,128.620783,22,1
CTV0000441,파동345-5_100683,35.81104,128.619278,76,1
CTV0000494,파동446-3_100753,35.807306,128.624237,152,1
CTV0001238,파동8_100309,35.82495,128.608164,59,1
CTV0001084,두산동306-1_101437,35.829539,128.62479,95,1
CTV0001397,지산1동1026-1_북쪽_100742,35.832873,128.628413,9,1
CTV0002661,본관앞길2(들안길04),35.8389183,128.6183819,2,1
CTV0002689,분리수거장(들안길05),35.8389183,128.6183819,6,1
CTV0002648,주차장1(들안길09),35.8389183,128.6183819,5,1
CTV0002643,주차장2(들안길10),35.8389183,128.6183819,21,1
CTV0002645,주차장5(들안길13),35.8389183,128.6183819,3,1
CTV0002646,주차장6(들안길14),35.8389183,128.6183819,4,1
CTV0002612,사랑반옆현관(동도13),35.857024,128.623882,145,1
CTV0002563,수돗가옆현관(동도12),35.857024,128.623882,1110,1
CTV0002590,신관뒤편2(동도06),35.857024,128.623882,29,1
CTV0002586,운동장(동도04),35.857024,128.623882,65,1
CTV0002589,운동장_우(동도03),35.857024,128.623882,213,1
CTV0002587,도서관동편측면(동도02),35.857024,128.623882,57,1
CTV0002600,유치원뒷편(동도01),35.857024,128.623882,16,1
CTV0002585,유치원현관(동도10),35.857024,128.623882,54,1
CTV0002613,임시교사동서편(동도14),35.857024,128.623882,48,1
CTV0002599,서관식당측면(동도07),35.857024,128.623882,2,1
CTV0002037,정문(동도08)_,35.857024,128.623882,21,1
CTV0002562,주차장(동도11),35.857024,128.623882,9,1
CTV0002584,후관1층후문쪽입구측면(동도09),35.857024,128.623882,276,1
CTV0002682,등나무벤치(범어15),35.860581,128.632761,316,1
CTV0002622,본관뒤편경사로(범어06),35.860581,128.632761,222,1
CTV0002625,분리수거장앞(범어04),35.860581,128.632761,117,1
CTV0002623,식당앞(범어07),35.85037,128.614149,401,1
CTV0002681,운동장강당(범어16),35.860581,128.632761,324,1
CTV0002683,운동장중앙(범어14),35.860581,128.632761,322,1
CTV0002653,강당연결복도아래(동산10),35.84907,128.627928,95,1
CTV0001690,강당옆씨름장(동산09),35.84907,128.627928,849,1
CTV0001765,남문(동산06),35.84907,128.627928,1383,1
CTV0001822,등나무출입문(동산16),35.84907,128.627928,292,1
CTV0002654,본관뒤편(동산11),35.84907,128.627928,474,1
CTV0002605,본관뒤편주차장(동산05),35.84907,128.627928,8,1
