LOCPLC,NO,INDUTY,BSSH_NM,APNTDT
대구광역시 북구 대학로13길 6-1 (산격동),87,일반음식점,팔팔왕소금구이,2021-03-25
"대구광역시 북구 대학로15길 10, 2층 (산격동)",88,일반음식점,인생족발,2021-12-09
"대구광역시 북구 대학로17길 18-1, 1층 (산격동)",89,일반음식점,백운면경대북문점,2021-12-09
"대구광역시 북구 대학로23길 14, 1층 (산격동)",90,일반음식점,벨로,2021-12-09
"대구광역시 북구 대학로23길 20-1, 1층 (산격동)",91,일반음식점,고운라멘(Lonely Cloud),2021-12-09
"대구광역시 북구 대학로23길 22, 2층 (산격동)",92,일반음식점,이층남자의면과밥,2021-12-09
"대구광역시 북구 대학로23길 7-2, 1층 (산격동)",93,일반음식점,끝소경북대직영점,2021-12-09
"대구광역시 북구 대학로23길 8-1, 1층 (산격동)",94,일반음식점,끝소,2021-12-09
"대구광역시 북구 대현남로 4, 3층 (대현동)",95,일반음식점,일월산대현동로점3,2022-05-18
"대구광역시 북구 대현남로 4, 2층 (대현동)",96,일반음식점,일월산대현동로점2,2022-05-18
"대구광역시 북구 대현남로 4, 1층 (대현동)",97,일반음식점,일월산대현동로점1,2022-05-18
대구광역시 북구 대현남로4길 26 (대현동),98,일반음식점,은성숯불식당,2023-01-11
"대구광역시 북구 대현남로6길 20, 상가동 지하 1층 B115호 (대현동, 대구대현엘에이치3단지)",99,일반음식점,대현정,2021-06-24
대구광역시 북구 대현로 110 (대현동),100,일반음식점,원성숯불갈비,2022-05-18
대구광역시 북구 대현로 117 (대현동),101,일반음식점,일월산생고기직화구이,2022-05-18
"대구광역시 북구 대현로 67, 1층 (대현동)",102,일반음식점,성주축산금돈,2020-08-31
대구광역시 북구 대현로9길 49-6 (대현동),103,일반음식점,언덕아래집,2020-07-29
대구광역시 북구 대현로9길 52 (산격동),104,일반음식점,고기한마당,2021-04-07
"대구광역시 북구 대현로9길 55 (대현동,외 2필지)",105,일반음식점,왕추,2020-07-27
"대구광역시 북구 도남중앙로7길 20-10, 102호103호 (국우동)",106,일반음식점,오븐마루대구도남점,2023-10-19
대구광역시 북구 동변로 103 (동변동),107,일반음식점,동원참치,2020-10-19
대구광역시 북구 동변로 105-1 (동변동),108,일반음식점,착한369치킨호프,2020-10-19
대구광역시 북구 동변로 75-1 (동변동),109,일반음식점,국수시간,2020-10-19
"대구광역시 북구 동변로18길 1, 1층 (동변동)",110,일반음식점,구룡포회도매,2020-10-19
대구광역시 북구 동변로 93 (동변동),111,일반음식점,태화각,2020-05-22
대구광역시 북구 동변로 95 (동변동),112,일반음식점,역전할머니맥주(동변점),2020-10-19
대구광역시 북구 동변로 95 (동변동),113,일반음식점,원조산호숯불아나고,2020-10-19
대구광역시 북구 동변로 97 (동변동),114,일반음식점,비비큐치킨,2020-10-19
대구광역시 북구 동변로 98 (동변동),115,일반음식점,본가어탕,2022-07-06
대구광역시 북구 동변로 99 (동변동),116,일반음식점,착한아나고곰장어막창,2020-10-19
대구광역시 북구 동변로15길 13 (동변동),117,일반음식점,정고집,2020-10-19
대구광역시 북구 동변로15길 14 (동변동),118,일반음식점,연포차,2020-10-19
대구광역시 북구 동변로15길 24 (동변동),119,일반음식점,오즈월드숯불치킨,2020-10-19
대구광역시 북구 동변로23길 13-20 (동변동),120,일반음식점,꼴통포차,2020-12-04
대구광역시 북구 동변로23길 13-21 (동변동),121,일반음식점,올레길,2020-12-11
대구광역시 북구 동변로23길 13-21 (동변동),122,일반음식점,피자에땅,2020-11-20
대구광역시 북구 동변로23길 13-27 (동변동),123,일반음식점,오면취하는집,2020-10-19
대구광역시 북구 동변로23길 15 (동변동),124,일반음식점,강변매운탕,2020-10-19
대구광역시 북구 동변로23길 9 (동변동),125,일반음식점,삼순이돌솥밥생선구이전문점,2020-10-19
"대구광역시 북구 동북로 141, 1층 (산격동)",126,일반음식점,장군식당,2021-01-03
대구광역시 북구 동북로 149-2 (산격동),127,일반음식점,남다른감자탕대구산격점,2020-10-14
"대구광역시 북구 동북로 155, 1층 (산격동)",128,일반음식점,부림손수제비칼국수,2021-01-03
"대구광역시 북구 동북로 163, 201동 109호 (산격동, 산격대우아파트)",129,일반음식점,선비꼬마김밥산격점,2022-08-05
"대구광역시 북구 동북로 163, 101동 1층 104호 (산격동, 산격대우아파트)",130,일반음식점,본죽(산격점),2022-04-28
대구광역시 북구 동북로 211 (복현동),131,일반음식점,죽이야기,2020-12-21
