date,food_name,trend
2024-03-16,양념갈비,0
2024-03-17,양념갈비,0
2024-03-18,양념갈비,0
2024-03-19,양념갈비,0
2024-03-20,양념갈비,0
2024-03-21,양념갈비,0
2024-03-22,양념갈비,0
2024-03-23,양념갈비,0
2024-03-24,양념갈비,0
2024-03-25,양념갈비,0
2024-03-26,양념갈비,0
2024-03-27,양념갈비,0
2024-03-28,양념갈비,0
2024-03-29,양념갈비,0
2024-03-30,양념갈비,0
2024-03-31,양념갈비,0
2024-04-01,양념갈비,0
2024-04-02,양념갈비,0
2024-04-03,양념갈비,0
2024-04-04,양념갈비,0
2024-04-05,양념갈비,0
2024-04-06,양념갈비,0
2024-04-07,양념갈비,0
2024-04-08,양념갈비,0
2024-04-09,양념갈비,0
2024-04-10,양념갈비,0
2024-04-11,양념갈비,0
2024-04-12,양념갈비,0
2024-04-13,양념갈비,0
2024-04-14,양념갈비,0
2024-04-15,양념갈비,0
2024-04-16,양념갈비,0
2024-04-17,양념갈비,0
2024-04-18,양념갈비,0
2024-04-19,양념갈비,0
2024-04-20,양념갈비,0
2024-04-21,양념갈비,0
2024-04-22,양념갈비,0
2024-04-23,양념갈비,0
2024-04-24,양념갈비,0
2024-04-25,양념갈비,0
2024-04-26,양념갈비,0
2024-04-27,양념갈비,0
2024-04-28,양념갈비,0
2024-04-29,양념갈비,0
2024-04-30,양념갈비,0
2024-01-01,새우구이,0
2024-01-02,새우구이,0
2024-01-03,새우구이,0
2024-01-04,새우구이,0
2024-01-05,새우구이,0
2024-01-06,새우구이,0
2024-01-07,새우구이,0
2024-01-08,새우구이,0
2024-01-09,새우구이,0
2024-01-10,새우구이,0
2024-01-11,새우구이,0
2024-01-12,새우구이,0
2024-01-13,새우구이,0
2024-01-14,새우구이,0
2024-01-15,새우구이,0
2024-01-16,새우구이,0
2024-01-17,새우구이,0
2024-01-18,새우구이,0
2024-01-19,새우구이,0
2024-01-20,새우구이,0
2024-01-21,새우구이,0
2024-01-22,새우구이,0
2024-01-23,새우구이,0
2024-01-24,새우구이,0
2024-01-25,새우구이,0
2024-01-26,새우구이,0
2024-01-27,새우구이,0
2024-01-28,새우구이,0
2024-01-29,새우구이,0
2024-01-30,새우구이,0
2024-01-31,새우구이,0
2024-02-01,새우구이,0
2024-02-02,새우구이,0
2024-02-03,새우구이,0
2024-02-04,새우구이,0
2024-02-05,새우구이,0
2024-02-06,새우구이,29
2024-02-07,새우구이,0
2024-02-08,새우구이,0
2024-02-09,새우구이,0
2024-02-10,새우구이,0
2024-02-11,새우구이,0
2024-02-12,새우구이,0
2024-02-13,새우구이,0
2024-02-14,새우구이,0
2024-02-15,새우구이,0
2024-02-16,새우구이,0
2024-02-17,새우구이,0
2024-02-18,새우구이,0
2024-02-19,새우구이,0
2024-02-20,새우구이,0
2024-02-21,새우구이,0
2024-02-22,새우구이,0
2024-02-23,새우구이,0
2024-02-24,새우구이,0
2024-02-25,새우구이,0
2024-02-26,새우구이,0
2024-02-27,새우구이,0
2024-02-28,새우구이,0
2024-02-29,새우구이,0
2024-03-01,새우구이,0
2024-03-02,새우구이,0
2024-03-03,새우구이,0
2024-03-04,새우구이,0
2024-03-05,새우구이,0
2024-03-06,새우구이,0
2024-03-07,새우구이,0
2024-03-08,새우구이,0
2024-03-09,새우구이,0
2024-03-10,새우구이,0
2024-03-11,새우구이,0
2024-03-12,새우구이,0
2024-03-13,새우구이,0
2024-03-14,새우구이,0
2024-03-15,새우구이,0
2024-03-16,새우구이,0
2024-03-17,새우구이,0
2024-03-18,새우구이,0
2024-03-19,새우구이,0
2024-03-20,새우구이,0
2024-03-21,새우구이,0
2024-03-22,새우구이,0
2024-03-23,새우구이,0
2024-03-24,새우구이,0
2024-03-25,새우구이,0
2024-03-26,새우구이,0
2024-03-27,새우구이,0
2024-03-28,새우구이,0
2024-03-29,새우구이,0
2024-03-30,새우구이,0
2024-03-31,새우구이,0
2024-04-01,새우구이,0
2024-04-02,새우구이,0
2024-04-03,새우구이,0
2024-04-04,새우구이,0
2024-04-05,새우구이,0
2024-04-06,새우구이,0
2024-04-07,새우구이,0
2024-04-08,새우구이,0
2024-04-09,새우구이,0
2024-04-10,새우구이,0
2024-04-11,새우구이,0
2024-04-12,새우구이,0
2024-04-13,새우구이,0
2024-04-14,새우구이,0
2024-04-15,새우구이,0
2024-04-16,새우구이,0
2024-04-17,새우구이,0
2024-04-18,새우구이,0
2024-04-19,새우구이,0
2024-04-20,새우구이,0
2024-04-21,새우구이,0
2024-04-22,새우구이,0
2024-04-23,새우구이,0
2024-04-24,새우구이,0
2024-04-25,새우구이,0
2024-04-26,새우구이,0
2024-04-27,새우구이,0
2024-04-28,새우구이,0
2024-04-29,새우구이,0
2024-04-30,새우구이,0
2024-01-01,양념게장,0
2024-01-02,양념게장,0
2024-01-03,양념게장,0
2024-01-04,양념게장,0
2024-01-05,양념게장,0
2024-01-06,양념게장,0
2024-01-07,양념게장,0
2024-01-08,양념게장,0
2024-01-09,양념게장,0
2024-01-10,양념게장,0
2024-01-11,양념게장,0
2024-01-12,양념게장,0
2024-01-13,양념게장,0
2024-01-14,양념게장,0
2024-01-15,양념게장,0
2024-01-16,양념게장,0
2024-01-17,양념게장,0
2024-01-18,양념게장,0
2024-01-19,양념게장,0
2024-01-20,양념게장,0
2024-01-21,양념게장,0
2024-01-22,양념게장,0
2024-01-23,양념게장,0
2024-01-24,양념게장,0
2024-01-25,양념게장,0
2024-01-26,양념게장,0
2024-01-27,양념게장,0
2024-01-28,양념게장,0
2024-01-29,양념게장,0
2024-01-30,양념게장,0
2024-01-31,양념게장,0
2024-02-01,양념게장,0
2024-02-02,양념게장,0
2024-02-03,양념게장,0
2024-02-04,양념게장,0
2024-02-05,양념게장,0
2024-02-06,양념게장,0
2024-02-07,양념게장,0
2024-02-08,양념게장,0
2024-02-09,양념게장,0
2024-02-10,양념게장,0
2024-02-11,양념게장,0
2024-02-12,양념게장,0
2024-02-13,양념게장,0
2024-02-14,양념게장,0
2024-02-15,양념게장,0
2024-02-16,양념게장,0
2024-02-17,양념게장,0
2024-02-18,양념게장,0
2024-02-19,양념게장,0
2024-02-20,양념게장,0
2024-02-21,양념게장,0
2024-02-22,양념게장,0
2024-02-23,양념게장,0
2024-02-24,양념게장,0
2024-02-25,양념게장,0
2024-02-26,양념게장,0
2024-02-27,양념게장,0
2024-02-28,양념게장,0
2024-02-29,양념게장,0
2024-03-01,양념게장,0
2024-03-02,양념게장,0
2024-03-03,양념게장,0
2024-03-04,양념게장,0
2024-03-05,양념게장,0
2024-03-06,양념게장,0
2024-03-07,양념게장,0
2024-03-08,양념게장,0
2024-03-09,양념게장,0
2024-03-10,양념게장,0
2024-03-11,양념게장,0
2024-03-12,양념게장,0
2024-03-13,양념게장,0
2024-03-14,양념게장,0
2024-03-15,양념게장,0
2024-03-16,양념게장,0
2024-03-17,양념게장,0
2024-03-18,양념게장,0
2024-03-19,양념게장,0
2024-03-20,양념게장,0
2024-03-21,양념게장,0
2024-03-22,양념게장,0
2024-03-23,양념게장,0
2024-03-24,양념게장,0
2024-03-25,양념게장,0
2024-03-26,양념게장,0
2024-03-27,양념게장,0
2024-03-28,양념게장,0
2024-03-29,양념게장,0
2024-03-30,양념게장,0
2024-03-31,양념게장,0
2024-04-01,양념게장,0
2024-04-02,양념게장,0
2024-04-03,양념게장,0
2024-04-04,양념게장,0
2024-04-05,양념게장,0
2024-04-06,양념게장,0
2024-04-07,양념게장,0
2024-04-08,양념게장,0
2024-04-09,양념게장,0
2024-04-10,양념게장,0
2024-04-11,양념게장,0
2024-04-12,양념게장,0
2024-04-13,양념게장,0
2024-04-14,양념게장,0
2024-04-15,양념게장,0
2024-04-16,양념게장,0
2024-04-17,양념게장,0
2024-04-18,양념게장,0
2024-04-19,양념게장,0
2024-04-20,양념게장,0
2024-04-21,양념게장,0
2024-04-22,양념게장,0
2024-04-23,양념게장,0
2024-04-24,양념게장,0
2024-04-25,양념게장,0
2024-04-26,양념게장,0
2024-04-27,양념게장,0
2024-04-28,양념게장,0
2024-04-29,양념게장,0
2024-04-30,양념게장,0
2024-01-01,수육,20
2024-01-02,수육,13
2024-01-03,수육,18
2024-01-04,수육,16
2024-01-05,수육,13
2024-01-06,수육,31
2024-01-07,수육,24
2024-01-08,수육,19
2024-01-09,수육,16
2024-01-10,수육,20
2024-01-11,수육,21
2024-01-12,수육,28
2024-01-13,수육,18
2024-01-14,수육,18
2024-01-15,수육,19
2024-01-16,수육,16
2024-01-17,수육,12
2024-01-18,수육,14
2024-01-19,수육,20
2024-01-20,수육,18
2024-01-21,수육,24
2024-01-22,수육,23
2024-01-23,수육,12
2024-01-24,수육,17
2024-01-25,수육,19
2024-01-26,수육,17
2024-01-27,수육,23
2024-01-28,수육,24
2024-01-29,수육,13
2024-01-30,수육,16
2024-01-31,수육,15
2024-02-01,수육,17
2024-02-02,수육,21
2024-02-03,수육,21
2024-02-04,수육,24
2024-02-05,수육,0
2024-02-06,수육,20
2024-02-07,수육,13
2024-02-08,수육,20
2024-02-09,수육,28
2024-02-10,수육,18
2024-02-11,수육,11
2024-02-12,수육,12
2024-02-13,수육,10
2024-02-14,수육,9
2024-02-15,수육,12
2024-02-16,수육,16
2024-02-17,수육,15
2024-02-18,수육,12
2024-02-19,수육,13
2024-02-20,수육,16
2024-02-21,수육,13
2024-02-22,수육,17
2024-02-23,수육,18
2024-02-24,수육,18
2024-02-25,수육,13
2024-02-26,수육,17
2024-02-27,수육,18
2024-02-28,수육,20
2024-02-29,수육,22
2024-03-01,수육,21
2024-03-02,수육,27
2024-03-03,수육,24
2024-03-04,수육,20
2024-03-05,수육,20
2024-03-06,수육,16
2024-03-07,수육,12
2024-03-08,수육,15
2024-03-09,수육,18
2024-03-10,수육,20
2024-03-11,수육,13
2024-03-12,수육,20
2024-03-13,수육,20
2024-03-14,수육,18
2024-03-15,수육,12
2024-03-16,수육,23
2024-03-17,수육,14
2024-03-18,수육,0
2024-03-19,수육,16
2024-03-20,수육,13
2024-03-21,수육,13
2024-03-22,수육,18
2024-03-23,수육,23
2024-03-24,수육,0
2024-03-25,수육,14
2024-03-26,수육,21
2024-03-27,수육,20
2024-03-28,수육,15
2024-03-29,수육,16
2024-03-30,수육,19
2024-03-31,수육,15
2024-04-01,수육,17
2024-04-02,수육,16
2024-04-03,수육,12
2024-04-04,수육,18
2024-04-05,수육,14
2024-04-06,수육,16
2024-04-07,수육,20
2024-04-08,수육,15
2024-04-09,수육,10
2024-04-10,수육,14
2024-04-11,수육,73
2024-04-12,수육,100
2024-04-13,수육,22
2024-04-14,수육,14
2024-04-15,수육,18
2024-04-16,수육,25
2024-04-17,수육,23
2024-04-18,수육,23
2024-04-19,수육,22
2024-04-20,수육,19
2024-04-21,수육,18
2024-04-22,수육,21
2024-04-23,수육,50
2024-04-24,수육,19
2024-04-25,수육,16
2024-04-26,수육,16
2024-04-27,수육,23
2024-04-28,수육,17
2024-04-29,수육,9
2024-04-30,수육,16
2024-01-01,매운탕,11
2024-01-02,매운탕,13
2024-01-03,매운탕,8
2024-01-04,매운탕,0
2024-01-05,매운탕,9
2024-01-06,매운탕,0
2024-01-07,매운탕,10
2024-01-08,매운탕,0
2024-01-09,매운탕,0
2024-01-10,매운탕,8
2024-01-11,매운탕,0
2024-01-12,매운탕,10
2024-01-13,매운탕,0
2024-01-14,매운탕,12
2024-01-15,매운탕,9
2024-01-16,매운탕,0
2024-01-17,매운탕,0
2024-01-18,매운탕,0
2024-01-19,매운탕,0
2024-01-20,매운탕,13
2024-01-21,매운탕,0
2024-01-22,매운탕,0
2024-01-23,매운탕,0
2024-01-24,매운탕,8
2024-01-25,매운탕,0
2024-01-26,매운탕,12
2024-01-27,매운탕,0
2024-01-28,매운탕,0
2024-01-29,매운탕,0
2024-01-30,매운탕,10
2024-01-31,매운탕,15
2024-02-01,매운탕,0
2024-02-02,매운탕,9
