food_name,period,ratio
아구탕,2024-06-01,3.46444
아구탕,2024-07-01,2.51778
아구탕,2024-08-01,2.56723
아구탕,2024-09-01,2.53214
아구탕,2024-10-01,3.32089
아구탕,2024-11-01,4.07136
아구탕,2024-12-01,5.32666
어죽,2024-01-01,100.0
어죽,2024-02-01,81.9978
어죽,2024-03-01,82.12586
어죽,2024-04-01,75.08232
어죽,2024-05-01,77.46066
어죽,2024-06-01,74.01512
어죽,2024-07-01,89.05964
어죽,2024-08-01,91.01719
어죽,2024-09-01,84.1505
어죽,2024-10-01,83.19307
어죽,2024-11-01,66.84351
어죽,2024-12-01,73.66142
율무죽,2024-01-01,2.52469
율무죽,2024-02-01,1.57946
율무죽,2024-03-01,1.89657
율무죽,2024-04-01,1.65264
율무죽,2024-05-01,1.56116
율무죽,2024-06-01,1.64654
율무죽,2024-07-01,1.76241
율무죽,2024-08-01,1.51847
율무죽,2024-09-01,1.27454
율무죽,2024-10-01,1.81729
율무죽,2024-11-01,1.18307
율무죽,2024-12-01,1.61605
잣죽,2024-01-01,33.67483
잣죽,2024-02-01,28.94865
잣죽,2024-03-01,26.69837
잣죽,2024-04-01,21.88071
잣죽,2024-05-01,20.4964
잣죽,2024-06-01,20.29515
잣죽,2024-07-01,20.59397
잣죽,2024-08-01,22.77106
잣죽,2024-09-01,21.87461
잣죽,2024-10-01,24.67983
잣죽,2024-11-01,23.3809
잣죽,2024-12-01,23.16745
참깨죽,2024-01-01,3.45773
참깨죽,2024-02-01,2.67715
참깨죽,2024-03-01,3.75045
참깨죽,2024-04-01,3.40895
참깨죽,2024-05-01,2.98207
참깨죽,2024-06-01,2.90889
참깨죽,2024-07-01,2.95157
참깨죽,2024-08-01,3.2138
참깨죽,2024-09-01,2.98207
참깨죽,2024-10-01,3.32967
참깨죽,2024-11-01,21.08793
참깨죽,2024-12-01,3.67117
참치죽,2024-01-01,11.62268
참치죽,2024-02-01,10.57081
참치죽,2024-03-01,10.26827
참치죽,2024-04-01,8.40295
참치죽,2024-05-01,8.10041
참치죽,2024-06-01,7.41119
참치죽,2024-07-01,8.12245
참치죽,2024-08-01,9.27651
참치죽,2024-09-01,9.41676
참치죽,2024-10-01,10.81525
참치죽,2024-11-01,8.77762
참치죽,2024-12-01,10.94548
채소죽,2024-01-01,0.36064
채소죽,2024-02-01,0.26647
채소죽,2024-03-01,0.21237
채소죽,2024-04-01,0.20436
채소죽,2024-05-01,0.24443
채소죽,2024-06-01,0.15227
